2020-10-18-12:41:28, Temp: 75.2 F, Humidity: 45%2020-10-18-12:41:47, Temp: 75.2 F, Humidity: 45%2020-10-18-12:44:20, Temp: 75.2 F, Humidity: 45%
2020-10-18-12:44:30, Temp: 75.2 F, Humidity: 44%
2020-10-18-12:44:51, Temp: 75.2 F, Humidity: 44%
2020-10-18-12:45:01, Temp: 75.2 F, Humidity: 44%
2020-10-18-12:46:34, Temp: 75.2 F, Humidity: 45%
2020-10-18-12:46:45, Temp: 75.2 F, Humidity: 44%
2020-10-18-12:49:46, Temp: 75.2 F, Humidity: 45%
2020-10-18-12:50:16, Temp: 75.2 F, Humidity: 45%
Initialized logging script at 2020-10-18-13:13:382020-10-18-13:13:38, Temp: 75.2 F, Humidity: 45%
Initialized logging script at 2020-10-18-13:20:092020-10-18-13:20:09, Temp: 75.2 F, Humidity: 45%
2020-10-18-13:20:54, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:21:25, Temp: 75.2 F, Humidity: 45%
2020-10-18-13:21:55, Temp: 75.2 F, Humidity: 45%
2020-10-18-13:24:27, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:25:28, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:25:58, Temp: 77.0 F, Humidity: 44%
2020-10-18-13:26:59, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:27:59, Temp: 75.2 F, Humidity: 45%
2020-10-18-13:29:00, Temp: 75.2 F, Humidity: 45%
2020-10-18-13:30:31, Temp: 75.2 F, Humidity: 45%
2020-10-18-13:32:02, Temp: 75.2 F, Humidity: 45%
2020-10-18-13:32:32, Temp: 75.2 F, Humidity: 45%
2020-10-18-13:33:03, Temp: 75.2 F, Humidity: 45%
2020-10-18-13:34:34, Temp: 77.0 F, Humidity: 44%
2020-10-18-13:35:35, Temp: 77.0 F, Humidity: 45%
2020-10-18-13:37:06, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:37:36, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:38:37, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:39:37, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:41:08, Temp: 75.2 F, Humidity: 45%
2020-10-18-13:43:10, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:43:40, Temp: 77.0 F, Humidity: 44%
2020-10-18-13:44:11, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:46:42, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:49:14, Temp: 77.0 F, Humidity: 44%
2020-10-18-13:49:44, Temp: 77.0 F, Humidity: 44%
2020-10-18-13:54:48, Temp: 77.0 F, Humidity: 44%
2020-10-18-13:55:18, Temp: 75.2 F, Humidity: 44%
2020-10-18-13:59:21, Temp: 77.0 F, Humidity: 44%
2020-10-18-14:01:22, Temp: 77.0 F, Humidity: 44%
2020-10-18-14:05:25, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:07:57, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:10:28, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:10:59, Temp: 77.0 F, Humidity: 44%
2020-10-18-14:13:31, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:14:01, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:14:31, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:17:03, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:19:04, Temp: 77.0 F, Humidity: 44%
2020-10-18-14:20:05, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:22:06, Temp: 75.2 F, Humidity: 45%
2020-10-18-14:23:37, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:24:38, Temp: 75.2 F, Humidity: 45%
2020-10-18-14:25:09, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:25:39, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:26:40, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:27:10, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:29:11, Temp: 75.2 F, Humidity: 45%
2020-10-18-14:30:12, Temp: 75.2 F, Humidity: 45%
2020-10-18-14:30:42, Temp: 75.2 F, Humidity: 45%
2020-10-18-14:31:13, Temp: 75.2 F, Humidity: 45%
2020-10-18-14:32:13, Temp: 75.2 F, Humidity: 45%
2020-10-18-14:33:44, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:35:46, Temp: 75.2 F, Humidity: 44%
2020-10-18-14:38:18, Temp: 75.2 F, Humidity: 45%
2020-10-18-14:41:50, Temp: 75.2 F, Humidity: 45%
2020-10-18-14:42:20, Temp: 75.2 F, Humidity: 45%
2020-10-18-14:43:21, Temp: 75.2 F, Humidity: 45%
