Initialized logging script at 2020-11-21-00:05:28
2020-11-21-00:05:35, Temp: 75.2 F, Humidity: 58%
2020-11-21-00:08:51, Temp: 75.2 F, Humidity: 58%
2020-11-21-00:09:51, Temp: 75.2 F, Humidity: 58%
2020-11-21-00:16:54, Temp: 75.2 F, Humidity: 57%
2020-11-21-00:30:59, Temp: 75.2 F, Humidity: 57%
2020-11-21-00:31:59, Temp: 75.2 F, Humidity: 57%
2020-11-21-00:34:00, Temp: 75.2 F, Humidity: 57%
2020-11-21-00:37:01, Temp: 75.2 F, Humidity: 57%
2020-11-21-00:39:02, Temp: 75.2 F, Humidity: 57%
2020-11-21-00:43:04, Temp: 75.2 F, Humidity: 57%
2020-11-21-00:44:04, Temp: 75.2 F, Humidity: 57%
2020-11-21-00:53:07, Temp: 75.2 F, Humidity: 57%
2020-11-21-00:59:09, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:17:16, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:20:17, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:25:19, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:26:19, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:27:20, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:29:20, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:30:21, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:31:21, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:33:22, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:35:23, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:36:23, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:43:26, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:44:26, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:46:27, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:52:29, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:54:30, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:56:30, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:58:31, Temp: 75.2 F, Humidity: 57%
2020-11-21-01:59:32, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:01:32, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:07:35, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:09:35, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:11:36, Temp: 75.2 F, Humidity: 56%
2020-11-21-02:12:36, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:14:37, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:15:38, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:22:40, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:24:41, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:26:42, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:28:42, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:29:43, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:32:44, Temp: 75.2 F, Humidity: 56%
2020-11-21-02:36:45, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:38:46, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:42:47, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:45:48, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:47:49, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:49:50, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:50:50, Temp: 75.2 F, Humidity: 57%
2020-11-21-02:57:53, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:00:54, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:03:55, Temp: 75.2 F, Humidity: 56%
2020-11-21-03:04:55, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:06:56, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:07:57, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:09:57, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:10:58, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:21:01, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:24:02, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:28:04, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:29:04, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:30:05, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:32:05, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:34:06, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:36:07, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:37:07, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:38:08, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:40:08, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:42:09, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:44:10, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:45:10, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:47:11, Temp: 75.2 F, Humidity: 56%
2020-11-21-03:48:11, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:49:12, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:50:12, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:51:12, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:54:13, Temp: 75.2 F, Humidity: 57%
2020-11-21-03:59:15, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:01:16, Temp: 75.2 F, Humidity: 56%
2020-11-21-04:08:19, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:12:20, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:16:21, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:17:22, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:18:22, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:22:24, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:23:24, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:25:25, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:29:26, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:31:27, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:32:27, Temp: 75.2 F, Humidity: 57%
2020-11-21-04:34:28, Temp: 75.2 F, Humidity: 57%
