2020-11-25-00:03:46, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:04:46, Temp: 73.4 F, Humidity: 56%
Initialized logging script at 2020-11-25-00:05:28
2020-11-25-00:06:45, Temp: 73.4 F, Humidity: 54%
2020-11-25-00:07:45, Temp: 73.4 F, Humidity: 55%
2020-11-25-00:10:46, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:12:47, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:13:47, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:14:48, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:16:49, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:18:49, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:25:52, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:29:53, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:31:54, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:32:54, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:34:55, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:35:56, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:37:56, Temp: 71.6 F, Humidity: 56%
2020-11-25-00:44:59, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:45:59, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:51:01, Temp: 71.6 F, Humidity: 56%
2020-11-25-00:54:02, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:56:03, Temp: 73.4 F, Humidity: 56%
2020-11-25-00:59:04, Temp: 73.4 F, Humidity: 56%
2020-11-25-01:02:05, Temp: 73.4 F, Humidity: 56%
2020-11-25-01:05:06, Temp: 73.4 F, Humidity: 56%
2020-11-25-01:06:07, Temp: 73.4 F, Humidity: 56%
2020-11-25-01:11:09, Temp: 73.4 F, Humidity: 56%
2020-11-25-01:22:13, Temp: 73.4 F, Humidity: 56%
2020-11-25-01:24:13, Temp: 71.6 F, Humidity: 56%
2020-11-25-01:34:17, Temp: 73.4 F, Humidity: 56%
2020-11-25-01:38:19, Temp: 71.6 F, Humidity: 56%
2020-11-25-01:40:19, Temp: 73.4 F, Humidity: 56%
2020-11-25-01:41:20, Temp: 73.4 F, Humidity: 57%
2020-11-25-01:43:20, Temp: 71.6 F, Humidity: 56%
2020-11-25-01:44:21, Temp: 71.6 F, Humidity: 57%
2020-11-25-02:03:28, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:12:31, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:13:32, Temp: 73.4 F, Humidity: 56%
2020-11-25-02:16:33, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:18:33, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:20:34, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:22:35, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:25:36, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:26:36, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:36:40, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:37:40, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:39:41, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:41:42, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:43:43, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:44:43, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:46:44, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:49:45, Temp: 73.4 F, Humidity: 57%
2020-11-25-02:52:46, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:01:49, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:05:50, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:09:52, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:10:52, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:11:53, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:13:54, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:16:55, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:17:55, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:19:56, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:21:57, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:23:57, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:25:58, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:31:00, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:32:00, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:33:01, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:35:01, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:39:03, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:42:04, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:47:06, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:50:07, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:52:08, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:55:09, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:56:09, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:57:10, Temp: 73.4 F, Humidity: 57%
2020-11-25-03:58:10, Temp: 73.4 F, Humidity: 57%
2020-11-25-04:04:12, Temp: 73.4 F, Humidity: 57%
2020-11-25-04:06:13, Temp: 73.4 F, Humidity: 57%
2020-11-25-04:08:14, Temp: 73.4 F, Humidity: 57%
2020-11-25-04:09:14, Temp: 73.4 F, Humidity: 57%
2020-11-25-04:10:14, Temp: 73.4 F, Humidity: 57%
2020-11-25-04:13:16, Temp: 73.4 F, Humidity: 57%
2020-11-25-04:14:16, Temp: 73.4 F, Humidity: 57%
2020-11-25-04:16:17, Temp: 73.4 F, Humidity: 57%
2020-11-25-04:29:21, Temp: 73.4 F, Humidity: 58%
2020-11-25-04:30:22, Temp: 73.4 F, Humidity: 58%
2020-11-25-04:31:22, Temp: 73.4 F, Humidity: 57%
2020-11-25-04:39:25, Temp: 73.4 F, Humidity: 58%
2020-11-25-04:41:26, Temp: 73.4 F, Humidity: 58%
2020-11-25-04:44:27, Temp: 73.4 F, Humidity: 58%
2020-11-25-04:45:27, Temp: 73.4 F, Humidity: 58%
2020-11-25-04:48:29, Temp: 73.4 F, Humidity: 58%
2020-11-25-04:50:29, Temp: 73.4 F, Humidity: 58%
2020-11-25-04:51:30, Temp: 73.4 F, Humidity: 58%
2020-11-25-04:52:30, Temp: 73.4 F, Humidity: 58%
2020-11-25-04:55:31, Temp: 73.4 F, Humidity: 58%
2020-11-25-04:56:32, Temp: 73.4 F, Humidity: 58%
